player_type,ability_id,from_value,to_value,muscle,agility,technique,breaking,mental
pitcher,velocity,128,129,10,0,5,0,0
pitcher,velocity,129,130,10,0,5,0,0
pitcher,velocity,130,131,30,0,15,0,0
pitcher,velocity,131,132,10,0,5,0,0
pitcher,velocity,132,133,12,0,6,0,0
pitcher,velocity,133,134,12,0,6,0,0
pitcher,control,40,41,0,0,4,0,3
pitcher,control,41,42,0,0,4,0,3
pitcher,stamina,40,41,0,0,3,0,5
fielder,contact,40,41,1,0,5,0,7
fielder,contact,41,42,1,0,5,0,7
fielder,contact,42,43,1,0,6,0,8
fielder,contact,43,44,1,0,6,0,8
fielder,contact,44,45,2,0,7,0,9
fielder,power,40,41,5,0,1,0,7
fielder,trajectory,1,2,50,0,0,0,20
fielder,trajectory,2,3,80,0,0,0,35
fielder,trajectory,3,4,120,0,0,0,50
