ability_id,display_name,player_type,ability_type,from_state,to_state,hint_level,sense_mode,muscle,agility,technique,breaking,mental
power_hitter,パワーヒッター,fielder,binary,NONE,ON,0,normal,240,15,68,0,8
average_hitter,アベレージヒッター,fielder,binary,NONE,ON,0,normal,23,38,195,0,83
average_hitter,アベレージヒッター,fielder,binary,NONE,ON,2,normal,12,20,100,0,45
strikeout,奪三振,pitcher,binary,NONE,ON,0,normal,35,0,80,50,35
test_round,丸め検証,common,binary,NONE,ON,0,normal,5,7,9,11,13
chance,チャンス,fielder,rank,G,F,0,normal,0,8,14,0,50
chance,チャンス,fielder,rank,F,E,0,normal,0,10,18,0,62
chance,チャンス,fielder,rank,E,D,0,normal,0,13,22,0,80
chance,チャンス,fielder,rank,D,C,0,normal,0,16,28,0,100
chance,チャンス,fielder,rank,D,C,1,normal,0,15,25,0,90
chance,チャンス,fielder,rank,C,B,0,normal,0,20,35,0,125
chance,チャンス,fielder,rank,B,A,0,normal,0,24,42,0,150
